year,month,day,flow_cfs,Source
1979,10,1,118,USGS_14301000
1979,10,2,116,USGS_14301000
1979,10,3,116,USGS_14301000
1979,10,4,110,USGS_14301000
1979,10,5,108,USGS_14301000
1979,10,6,108,USGS_14301000
1979,10,7,108,USGS_14301000
1979,10,8,108,USGS_14301000
1979,10,9,105,USGS_14301000
1979,10,10,105,USGS_14301000
1979,10,11,103,USGS_14301000
1979,10,12,103,USGS_14301000
1979,10,13,103,USGS_14301000
1979,10,14,110,USGS_14301000
1979,10,15,116,USGS_14301000
1979,10,16,124,USGS_14301000
1979,10,17,129,USGS_14301000
1979,10,18,166,USGS_14301000
1979,10,19,349,USGS_14301000
1979,10,20,566,USGS_14301000
1979,10,21,502,USGS_14301000
1979,10,22,518,USGS_14301000
1979,10,23,1220,USGS_14301000
1979,10,24,1060,USGS_14301000
1979,10,25,2640,USGS_14301000
1979,10,26,2760,USGS_14301000
1979,10,27,4220,USGS_14301000
1979,10,28,3220,USGS_14301000
1979,10,29,2500,USGS_14301000
1979,10,30,1930,USGS_14301000
1979,10,31,1680,USGS_14301000
1979,11,1,1570,USGS_14301000
1979,11,2,1300,USGS_14301000
1979,11,3,1900,USGS_14301000
1979,11,4,2070,USGS_14301000
1979,11,5,2360,USGS_14301000
1979,11,6,2040,USGS_14301000
1979,11,7,1720,USGS_14301000
1979,11,8,1410,USGS_14301000
1979,11,9,1170,USGS_14301000
1979,11,10,1000,USGS_14301000
1979,11,11,879,USGS_14301000
1979,11,12,776,USGS_14301000
1979,11,13,699,USGS_14301000
1979,11,14,637,USGS_14301000
1979,11,15,589,USGS_14301000
1979,11,16,555,USGS_14301000
1979,11,17,583,USGS_14301000
1979,11,18,680,USGS_14301000
1979,11,19,757,USGS_14301000
1979,11,20,705,USGS_14301000
1979,11,21,649,USGS_14301000
1979,11,22,1050,USGS_14301000
1979,11,23,2280,USGS_14301000
1979,11,24,2740,USGS_14301000
1979,11,25,2930,USGS_14301000
1979,11,26,3200,USGS_14301000
1979,11,27,2990,USGS_14301000
1979,11,28,2490,USGS_14301000
1979,11,29,2080,USGS_14301000
1979,11,30,1790,USGS_14301000
1979,12,1,1770,USGS_14301000
1979,12,2,7160,USGS_14301000
1979,12,3,7260,USGS_14301000
1979,12,4,12100,USGS_14301000
1979,12,5,9250,USGS_14301000
1979,12,6,7050,USGS_14301000
1979,12,7,5420,USGS_14301000
1979,12,8,4340,USGS_14301000
1979,12,9,3700,USGS_14301000
1979,12,10,3560,USGS_14301000
1979,12,11,3260,USGS_14301000
1979,12,12,3590,USGS_14301000
1979,12,13,3810,USGS_14301000
1979,12,14,4510,USGS_14301000
1979,12,15,6490,USGS_14301000
1979,12,16,6080,USGS_14301000
1979,12,17,8110,USGS_14301000
1979,12,18,11700,USGS_14301000
1979,12,19,11600,USGS_14301000
1979,12,20,11100,USGS_14301000
1979,12,21,11200,USGS_14301000
1979,12,22,10400,USGS_14301000
1979,12,23,8390,USGS_14301000
1979,12,24,7330,USGS_14301000
1979,12,25,7280,USGS_14301000
1979,12,26,6360,USGS_14301000
1979,12,27,5430,USGS_14301000
1979,12,28,4650,USGS_14301000
1979,12,29,4040,USGS_14301000
1979,12,30,3590,USGS_14301000
1979,12,31,3780,USGS_14301000
1980,1,1,5180,USGS_14301000
1980,1,2,5690,USGS_14301000
1980,1,3,5610,USGS_14301000
1980,1,4,5150,USGS_14301000
1980,1,5,5240,USGS_14301000
1980,1,6,5190,USGS_14301000
1980,1,7,4600,USGS_14301000
1980,1,8,4700,USGS_14301000
1980,1,9,7950,USGS_14301000
1980,1,10,8550,USGS_14301000
1980,1,11,7430,USGS_14301000
1980,1,12,19600,USGS_14301000
1980,1,13,20700,USGS_14301000
1980,1,14,19300,USGS_14301000
1980,1,15,16200,USGS_14301000
1980,1,16,15200,USGS_14301000
1980,1,17,13300,USGS_14301000
1980,1,18,11000,USGS_14301000
1980,1,19,8250,USGS_14301000
1980,1,20,6380,USGS_14301000
1980,1,21,5150,USGS_14301000
1980,1,22,4300,USGS_14301000
1980,1,23,3690,USGS_14301000
1980,1,24,3260,USGS_14301000
1980,1,25,2950,USGS_14301000
1980,1,26,2700,USGS_14301000
1980,1,27,2440,USGS_14301000
1980,1,28,2200,USGS_14301000
1980,1,29,1910,USGS_14301000
1980,1,30,1870,USGS_14301000
1980,1,31,1850,USGS_14301000
1980,2,1,2390,USGS_14301000
1980,2,2,4050,USGS_14301000
1980,2,3,6250,USGS_14301000
1980,2,4,5810,USGS_14301000
1980,2,5,5360,USGS_14301000
1980,2,6,7350,USGS_14301000
1980,2,7,9820,USGS_14301000
1980,2,8,8320,USGS_14301000
1980,2,9,6300,USGS_14301000
1980,2,10,4920,USGS_14301000
1980,2,11,4000,USGS_14301000
1980,2,12,3370,USGS_14301000
1980,2,13,2960,USGS_14301000
1980,2,14,2660,USGS_14301000
1980,2,15,2470,USGS_14301000
1980,2,16,2240,USGS_14301000
1980,2,17,2140,USGS_14301000
1980,2,18,3420,USGS_14301000
1980,2,19,4800,USGS_14301000
1980,2,20,4990,USGS_14301000
1980,2,21,4580,USGS_14301000
1980,2,22,4000,USGS_14301000
1980,2,23,3460,USGS_14301000
1980,2,24,3190,USGS_14301000
1980,2,25,3060,USGS_14301000
1980,2,26,4250,USGS_14301000
1980,2,27,6270,USGS_14301000
1980,2,28,6850,USGS_14301000
1980,2,29,6430,USGS_14301000
1980,3,1,5430,USGS_14301000
1980,3,2,4510,USGS_14301000
1980,3,3,3810,USGS_14301000
1980,3,4,3280,USGS_14301000
1980,3,5,2990,USGS_14301000
1980,3,6,2930,USGS_14301000
1980,3,7,2800,USGS_14301000
1980,3,8,2580,USGS_14301000
1980,3,9,2400,USGS_14301000
1980,3,10,2260,USGS_14301000
1980,3,11,2430,USGS_14301000
1980,3,12,2920,USGS_14301000
1980,3,13,5110,USGS_14301000
1980,3,14,6430,USGS_14301000
1980,3,15,6330,USGS_14301000
1980,3,16,5810,USGS_14301000
1980,3,17,5700,USGS_14301000
1980,3,18,6600,USGS_14301000
1980,3,19,6440,USGS_14301000
1980,3,20,6060,USGS_14301000
1980,3,21,5480,USGS_14301000
1980,3,22,4760,USGS_14301000
1980,3,23,4190,USGS_14301000
1980,3,24,3690,USGS_14301000
1980,3,25,3260,USGS_14301000
1980,3,26,3040,USGS_14301000
1980,3,27,3010,USGS_14301000
1980,3,28,2860,USGS_14301000
1980,3,29,2690,USGS_14301000
1980,3,30,2610,USGS_14301000
1980,3,31,2480,USGS_14301000
1980,4,1,2320,USGS_14301000
1980,4,2,2160,USGS_14301000
1980,4,3,2020,USGS_14301000
1980,4,4,1910,USGS_14301000
1980,4,5,2060,USGS_14301000
1980,4,6,2870,USGS_14301000
1980,4,7,3680,USGS_14301000
1980,4,8,4100,USGS_14301000
1980,4,9,5220,USGS_14301000
1980,4,10,5870,USGS_14301000
1980,4,11,5550,USGS_14301000
1980,4,12,4670,USGS_14301000
1980,4,13,3840,USGS_14301000
1980,4,14,3320,USGS_14301000
1980,4,15,3170,USGS_14301000
1980,4,16,2790,USGS_14301000
1980,4,17,2460,USGS_14301000
1980,4,18,2220,USGS_14301000
1980,4,19,2090,USGS_14301000
1980,4,20,2170,USGS_14301000
1980,4,21,2330,USGS_14301000
1980,4,22,2170,USGS_14301000
1980,4,23,1980,USGS_14301000
1980,4,24,1830,USGS_14301000
1980,4,25,1650,USGS_14301000
1980,4,26,1500,USGS_14301000
1980,4,27,1390,USGS_14301000
1980,4,28,1300,USGS_14301000
1980,4,29,1240,USGS_14301000
1980,4,30,1170,USGS_14301000
1980,5,1,1100,USGS_14301000
1980,5,2,1030,USGS_14301000
1980,5,3,964,USGS_14301000
1980,5,4,904,USGS_14301000
1980,5,5,858,USGS_14301000
1980,5,6,819,USGS_14301000
1980,5,7,781,USGS_14301000
1980,5,8,737,USGS_14301000
1980,5,9,724,USGS_14301000
1980,5,10,718,USGS_14301000
1980,5,11,694,USGS_14301000
1980,5,12,663,USGS_14301000
1980,5,13,640,USGS_14301000
1980,5,14,622,USGS_14301000
1980,5,15,610,USGS_14301000
1980,5,16,598,USGS_14301000
1980,5,17,581,USGS_14301000
1980,5,18,530,USGS_14301000
1980,5,19,502,USGS_14301000
1980,5,20,496,USGS_14301000
1980,5,21,485,USGS_14301000
1980,5,22,496,USGS_14301000
1980,5,23,547,USGS_14301000
1980,5,24,553,USGS_14301000
1980,5,25,553,USGS_14301000
1980,5,26,570,USGS_14301000
1980,5,27,575,USGS_14301000
1980,5,28,575,USGS_14301000
1980,5,29,558,USGS_14301000
1980,5,30,541,USGS_14301000
1980,5,31,485,USGS_14301000
1980,6,1,468,USGS_14301000
1980,6,2,496,USGS_14301000
1980,6,3,536,USGS_14301000
1980,6,4,536,USGS_14301000
1980,6,5,524,USGS_14301000
1980,6,6,496,USGS_14301000
1980,6,7,485,USGS_14301000
1980,6,8,474,USGS_14301000
1980,6,9,452,USGS_14301000
1980,6,10,435,USGS_14301000
1980,6,11,425,USGS_14301000
1980,6,12,414,USGS_14301000
1980,6,13,403,USGS_14301000
1980,6,14,393,USGS_14301000
1980,6,15,388,USGS_14301000
1980,6,16,383,USGS_14301000
1980,6,17,378,USGS_14301000
1980,6,18,362,USGS_14301000
1980,6,19,347,USGS_14301000
1980,6,20,328,USGS_14301000
1980,6,21,318,USGS_14301000
1980,6,22,308,USGS_14301000
1980,6,23,303,USGS_14301000
1980,6,24,303,USGS_14301000
1980,6,25,352,USGS_14301000
1980,6,26,388,USGS_14301000
1980,6,27,393,USGS_14301000
1980,6,28,393,USGS_14301000
1980,6,29,352,USGS_14301000
1980,6,30,328,USGS_14301000
1980,7,1,303,USGS_14301000
1980,7,2,285,USGS_14301000
1980,7,3,280,USGS_14301000
1980,7,4,280,USGS_14301000
1980,7,5,289,USGS_14301000
1980,7,6,294,USGS_14301000
1980,7,7,289,USGS_14301000
1980,7,8,285,USGS_14301000
1980,7,9,257,USGS_14301000
1980,7,10,239,USGS_14301000
1980,7,11,235,USGS_14301000
1980,7,12,231,USGS_14301000
1980,7,13,226,USGS_14301000
1980,7,14,222,USGS_14301000
1980,7,15,218,USGS_14301000
1980,7,16,214,USGS_14301000
1980,7,17,205,USGS_14301000
1980,7,18,197,USGS_14301000
1980,7,19,189,USGS_14301000
1980,7,20,185,USGS_14301000
1980,7,21,181,USGS_14301000
1980,7,22,173,USGS_14301000
1980,7,23,169,USGS_14301000
1980,7,24,165,USGS_14301000
1980,7,25,161,USGS_14301000
1980,7,26,154,USGS_14301000
1980,7,27,150,USGS_14301000
