name,type,zone,value
uztwm,sac,FSSO3-1,-99
uzfwm,sac,FSSO3-1,-99
lztwm,sac,FSSO3-1,-99
lzfpm,sac,FSSO3-1,-99
lzfsm,sac,FSSO3-1,-99
adimp,sac,FSSO3-1,-99
uzk,sac,FSSO3-1,-99
lzpk,sac,FSSO3-1,-99
lzsk,sac,FSSO3-1,-99
zperc,sac,FSSO3-1,-99
rexp,sac,FSSO3-1,-99
pctim,sac,FSSO3-1,-99
pfree,sac,FSSO3-1,-99
riva,sac,FSSO3-1,-99
side,sac,FSSO3-1,0
rserv,sac,FSSO3-1,0.3
peadj,sac,FSSO3-1,1
pxadj,sac,FSSO3-1,1
peadj_10,sac,FSSO3-1,1.0155
peadj_11,sac,FSSO3-1,0.9362
peadj_12,sac,FSSO3-1,0.8932
peadj_01,sac,FSSO3-1,0.9171
peadj_02,sac,FSSO3-1,0.9294
peadj_03,sac,FSSO3-1,0.8867
peadj_04,sac,FSSO3-1,0.9353
peadj_05,sac,FSSO3-1,1.0012
peadj_06,sac,FSSO3-1,1.0751
peadj_07,sac,FSSO3-1,1.0809
peadj_08,sac,FSSO3-1,1.079
peadj_09,sac,FSSO3-1,1.0655
efc,sac,FSSO3-1,0.277113881414
scf,snow,FSSO3-1,-99
mfmax,snow,FSSO3-1,-99
mfmin,snow,FSSO3-1,-99
uadj,snow,FSSO3-1,-99
si,snow,FSSO3-1,-99
nmf,snow,FSSO3-1,0.15
tipm,snow,FSSO3-1,0.12
mbase,snow,FSSO3-1,0
plwhc,snow,FSSO3-1,0.04
daygm,snow,FSSO3-1,0
adc_a,snow,FSSO3-1,-99
adc_b,snow,FSSO3-1,-99
adc_c,snow,FSSO3-1,-99
init_swe,snow,FSSO3-1,0
alat,snow,FSSO3-1,45.867
elev,snow,FSSO3-1,357.745
zone_area,uh,FSSO3-1,1743.144
unit_shape,uh,FSSO3-1,-99
unit_toc,uh,FSSO3-1,68.5915408
unit_toc_adj,uh,FSSO3-1,-99
n_clmods,chanloss,FSSO3,0
map_scale,fa,FSSO3,-99
map_p_redist,fa,FSSO3,-99
map_std,fa,FSSO3,-99
map_shift,fa,FSSO3,-99
mat_scale,fa,FSSO3,-99
mat_p_redist,fa,FSSO3,-99
mat_std,fa,FSSO3,-99
mat_shift,fa,FSSO3,-99
pet_scale,fa,FSSO3,-99
pet_p_redist,fa,FSSO3,-99
pet_std,fa,FSSO3,-99
pet_shift,fa,FSSO3,-99
ptps_scale,fa,FSSO3,-99
ptps_p_redist,fa,FSSO3,-99
ptps_std,fa,FSSO3,-99
ptps_shift,fa,FSSO3,-99
map_lower_01,fa_limit,FSSO3-1,178.609627902857
map_upper_01,fa_limit,FSSO3-1,368.997992
map_lower_02,fa_limit,FSSO3-1,143.683812925714
map_upper_02,fa_limit,FSSO3-1,311.976177333333
map_lower_03,fa_limit,FSSO3-1,165.437441177143
map_upper_03,fa_limit,FSSO3-1,272.618030666667
map_lower_04,fa_limit,FSSO3-1,111.1001207
map_upper_04,fa_limit,FSSO3-1,188.160998666667
map_lower_05,fa_limit,FSSO3-1,68.03447785
map_upper_05,fa_limit,FSSO3-1,106.185038666667
map_lower_06,fa_limit,FSSO3-1,44.12460695
map_upper_06,fa_limit,FSSO3-1,77.1677964444444
map_lower_07,fa_limit,FSSO3-1,12.1377202
map_upper_07,fa_limit,FSSO3-1,25.9002842057143
map_lower_08,fa_limit,FSSO3-1,15.2847929
map_upper_08,fa_limit,FSSO3-1,29.3140413028571
map_lower_09,fa_limit,FSSO3-1,46.0928974
map_upper_09,fa_limit,FSSO3-1,85.1493231111111
map_lower_10,fa_limit,FSSO3-1,112.621873525714
map_upper_10,fa_limit,FSSO3-1,215.20023
map_lower_11,fa_limit,FSSO3-1,202.330767176471
map_upper_11,fa_limit,FSSO3-1,399.09242
map_lower_12,fa_limit,FSSO3-1,200.041694523529
map_upper_12,fa_limit,FSSO3-1,423.897425
mat_lower_01,fa_limit,FSSO3-1,2.7662009040376
mat_upper_01,fa_limit,FSSO3-1,4.48027027027027
mat_lower_02,fa_limit,FSSO3-1,3.32504261736168
mat_upper_02,fa_limit,FSSO3-1,5.38702702702703
mat_lower_03,fa_limit,FSSO3-1,4.73948775388291
mat_upper_03,fa_limit,FSSO3-1,7.38571428571429
mat_lower_04,fa_limit,FSSO3-1,6.53316820987656
mat_upper_04,fa_limit,FSSO3-1,9.40814285714286
mat_lower_05,fa_limit,FSSO3-1,9.63
mat_upper_05,fa_limit,FSSO3-1,12.6531428571429
mat_lower_06,fa_limit,FSSO3-1,11.93
mat_upper_06,fa_limit,FSSO3-1,15.4487142857143
mat_lower_07,fa_limit,FSSO3-1,14.535
mat_upper_07,fa_limit,FSSO3-1,18.8555714285714
mat_lower_08,fa_limit,FSSO3-1,14.78375
mat_upper_08,fa_limit,FSSO3-1,19.6915714285714
mat_lower_09,fa_limit,FSSO3-1,12.6198688271605
mat_upper_09,fa_limit,FSSO3-1,17.534
mat_lower_10,fa_limit,FSSO3-1,8.6354227761486
mat_upper_10,fa_limit,FSSO3-1,12.2838571428571
mat_lower_11,fa_limit,FSSO3-1,4.68376104797986
mat_upper_11,fa_limit,FSSO3-1,6.74882352941177
mat_lower_12,fa_limit,FSSO3-1,2.35557490224828
mat_upper_12,fa_limit,FSSO3-1,3.90041666666667
pet_lower_01,fa_limit,FSSO3-1,0.71351198231405
pet_upper_01,fa_limit,FSSO3-1,19.5497888841444
pet_lower_02,fa_limit,FSSO3-1,7.02982422455
pet_upper_02,fa_limit,FSSO3-1,27.7777108126833
pet_lower_03,fa_limit,FSSO3-1,24.9964677489
pet_upper_03,fa_limit,FSSO3-1,48.8945334796111
pet_lower_04,fa_limit,FSSO3-1,48.5350089115
pet_upper_04,fa_limit,FSSO3-1,69.8601499978919
pet_lower_05,fa_limit,FSSO3-1,76.2140681075
pet_upper_05,fa_limit,FSSO3-1,102.883256150162
pet_lower_06,fa_limit,FSSO3-1,89.729863466
pet_upper_06,fa_limit,FSSO3-1,117.110124428
pet_lower_07,fa_limit,FSSO3-1,99.034994589
pet_upper_07,fa_limit,FSSO3-1,139.582449850324
pet_lower_08,fa_limit,FSSO3-1,77.0957719575
pet_upper_08,fa_limit,FSSO3-1,125.024519346222
pet_lower_09,fa_limit,FSSO3-1,41.760321229
pet_upper_09,fa_limit,FSSO3-1,86.7810413078889
pet_lower_10,fa_limit,FSSO3-1,14.92329936975
pet_upper_10,fa_limit,FSSO3-1,46.9947638899445
pet_lower_11,fa_limit,FSSO3-1,1.63332263189314
pet_upper_11,fa_limit,FSSO3-1,23.6902441677314
pet_lower_12,fa_limit,FSSO3-1,0
pet_upper_12,fa_limit,FSSO3-1,15.8533387196171
ptps_lower_01,fa_limit,FSSO3-1,0.10525725
ptps_upper_01,fa_limit,FSSO3-1,0.329056624518967
ptps_lower_02,fa_limit,FSSO3-1,0.10544625
ptps_upper_02,fa_limit,FSSO3-1,0.297028127458696
ptps_lower_03,fa_limit,FSSO3-1,0.0479653846153846
ptps_upper_03,fa_limit,FSSO3-1,0.185293488649939
ptps_lower_04,fa_limit,FSSO3-1,0.01476
ptps_upper_04,fa_limit,FSSO3-1,0.0925911419753083
ptps_lower_05,fa_limit,FSSO3-1,0.000371538461538461
ptps_upper_05,fa_limit,FSSO3-1,0.0149948924731183
ptps_lower_06,fa_limit,FSSO3-1,0
ptps_upper_06,fa_limit,FSSO3-1,0.000109660493827161
ptps_lower_07,fa_limit,FSSO3-1,0
ptps_upper_07,fa_limit,FSSO3-1,1.97132616487455e-06
ptps_lower_08,fa_limit,FSSO3-1,0
ptps_upper_08,fa_limit,FSSO3-1,2.79271206690562e-05
ptps_lower_09,fa_limit,FSSO3-1,0
ptps_upper_09,fa_limit,FSSO3-1,0.00468891975308642
ptps_lower_10,fa_limit,FSSO3-1,0.000170769230769231
ptps_upper_10,fa_limit,FSSO3-1,0.046611559139785
ptps_lower_11,fa_limit,FSSO3-1,0.0359884615384615
ptps_upper_11,fa_limit,FSSO3-1,0.183076736111111
ptps_lower_12,fa_limit,FSSO3-1,0.118084615384615
ptps_upper_12,fa_limit,FSSO3-1,0.351162634408603
