name,zone,lower,upper
uztwm_FSSO3-1,FSSO3-1,25,82.75
uzfwm_FSSO3-1,FSSO3-1,18,62
lztwm_FSSO3-1,FSSO3-1,75,185
lzfpm_FSSO3-1,FSSO3-1,108.5,361.5
lzfsm_FSSO3-1,FSSO3-1,36,124
adimp_FSSO3-1,FSSO3-1,0,0.2
uzk_FSSO3-1,FSSO3-1,0.25,0.6
lzpk_FSSO3-1,FSSO3-1,0.0045,0.0155
lzsk_FSSO3-1,FSSO3-1,0.05525,0.20475
zperc_FSSO3-1,FSSO3-1,1,121.25
rexp_FSSO3-1,FSSO3-1,1.5625,3.8125
pctim_FSSO3-1,FSSO3-1,0,0.05
pfree_FSSO3-1,FSSO3-1,0.1875,0.4625
riva_FSSO3-1,FSSO3-1,0,0.2
scf_FSSO3-1,FSSO3-1,0.7,1.5
mfmax_FSSO3-1,FSSO3-1,0.585,0.915
mfmin_FSSO3-1,FSSO3-1,0.1,0.4
uadj_FSSO3-1,FSSO3-1,0.075,0.2
si_FSSO3-1,FSSO3-1,1,5000
adc_a_FSSO3-1,FSSO3-1,0,0.25
adc_b_FSSO3-1,FSSO3-1,0.05,50
adc_c_FSSO3-1,FSSO3-1,0.5,50
unit_shape_FSSO3-1,FSSO3-1,1.01,3.3
unit_toc_adj_FSSO3-1,FSSO3-1,0.75,1.25
map_scale_FSSO3,FSSO3,0.5,1.5
map_p_redist_FSSO3,FSSO3,0,0.5
map_std_FSSO3,FSSO3,0.1,20
map_shift_FSSO3,FSSO3,-15,15
mat_scale_FSSO3,FSSO3,0.5,1.5
mat_p_redist_FSSO3,FSSO3,0,0.5
mat_std_FSSO3,FSSO3,0.1,20
mat_shift_FSSO3,FSSO3,-15,15
pet_scale_FSSO3,FSSO3,0.5,1.5
pet_p_redist_FSSO3,FSSO3,0,0.5
pet_std_FSSO3,FSSO3,0.1,20
pet_shift_FSSO3,FSSO3,-15,15
ptps_scale_FSSO3,FSSO3,0.5,1.5
ptps_p_redist_FSSO3,FSSO3,0,0.5
ptps_std_FSSO3,FSSO3,0.1,20
ptps_shift_FSSO3,FSSO3,-15,15
