year,month,day,flow_cfs,Source
1979,10,1,1150,USGS_12189500
1979,10,2,1110,USGS_12189500
1979,10,3,1070,USGS_12189500
1979,10,4,1070,USGS_12189500
1979,10,5,1120,USGS_12189500
1979,10,6,1140,USGS_12189500
1979,10,7,1200,USGS_12189500
1979,10,8,1160,USGS_12189500
1979,10,9,1120,USGS_12189500
1979,10,10,1120,USGS_12189500
1979,10,11,1150,USGS_12189500
1979,10,12,1090,USGS_12189500
1979,10,13,1110,USGS_12189500
1979,10,14,1090,USGS_12189500
1979,10,15,1040,USGS_12189500
1979,10,16,1030,USGS_12189500
1979,10,17,1260,USGS_12189500
1979,10,18,1050,USGS_12189500
1979,10,19,1260,USGS_12189500
1979,10,20,1370,USGS_12189500
1979,10,21,1110,USGS_12189500
1979,10,22,1050,USGS_12189500
1979,10,23,2120,USGS_12189500
1979,10,24,1700,USGS_12189500
1979,10,25,3870,USGS_12189500
1979,10,26,3930,USGS_12189500
1979,10,27,7060,USGS_12189500
1979,10,28,4990,USGS_12189500
1979,10,29,3440,USGS_12189500
1979,10,30,2620,USGS_12189500
1979,10,31,2120,USGS_12189500
1979,11,1,1840,USGS_12189500
1979,11,2,1660,USGS_12189500
1979,11,3,1650,USGS_12189500
1979,11,4,1640,USGS_12189500
1979,11,5,1500,USGS_12189500
1979,11,6,1390,USGS_12189500
1979,11,7,1320,USGS_12189500
1979,11,8,1260,USGS_12189500
1979,11,9,1200,USGS_12189500
1979,11,10,1150,USGS_12189500
1979,11,11,1110,USGS_12189500
1979,11,12,1070,USGS_12189500
1979,11,13,1040,USGS_12189500
1979,11,14,1010,USGS_12189500
1979,11,15,979,USGS_12189500
1979,11,16,968,USGS_12189500
1979,11,17,1110,USGS_12189500
1979,11,18,1320,USGS_12189500
1979,11,19,1140,USGS_12189500
1979,11,20,1060,USGS_12189500
1979,11,21,1020,USGS_12189500
1979,11,22,1060,USGS_12189500
1979,11,23,1420,USGS_12189500
1979,11,24,1270,USGS_12189500
1979,11,25,1170,USGS_12189500
1979,11,26,1070,USGS_12189500
1979,11,27,1010,USGS_12189500
1979,11,28,961,USGS_12189500
1979,11,29,933,USGS_12189500
1979,11,30,961,USGS_12189500
1979,12,1,1030,USGS_12189500
1979,12,2,2340,USGS_12189500
1979,12,3,2100,USGS_12189500
1979,12,4,13200,USGS_12189500
1979,12,5,6290,USGS_12189500
1979,12,6,4460,USGS_12189500
1979,12,7,4100,USGS_12189500
1979,12,8,3550,USGS_12189500
1979,12,9,7530,USGS_12189500
1979,12,10,8630,USGS_12189500
1979,12,11,5190,USGS_12189500
1979,12,12,4380,USGS_12189500
1979,12,13,5060,USGS_12189500
1979,12,14,20500,USGS_12189500
1979,12,15,21300,USGS_12189500
1979,12,16,9560,USGS_12189500
1979,12,17,21000,USGS_12189500
1979,12,18,43200,USGS_12189500
1979,12,19,26800,USGS_12189500
1979,12,20,18500,USGS_12189500
1979,12,21,11600,USGS_12189500
1979,12,22,8680,USGS_12189500
1979,12,23,6910,USGS_12189500
1979,12,24,5710,USGS_12189500
1979,12,25,4970,USGS_12189500
1979,12,26,4520,USGS_12189500
1979,12,27,4030,USGS_12189500
1979,12,28,3610,USGS_12189500
1979,12,29,3330,USGS_12189500
1979,12,30,3110,USGS_12189500
1979,12,31,3010,USGS_12189500
1980,1,1,3270,USGS_12189500
1980,1,2,3210,USGS_12189500
1980,1,3,3020,USGS_12189500
1980,1,4,2730,USGS_12189500
1980,1,5,2580,USGS_12189500
1980,1,6,2330,USGS_12189500
1980,1,7,2220,USGS_12189500
1980,1,8,2190,USGS_12189500
1980,1,9,2110,USGS_12189500
1980,1,10,2090,USGS_12189500
1980,1,11,2000,USGS_12189500
1980,1,12,5630,USGS_12189500
1980,1,13,5190,USGS_12189500
1980,1,14,3620,USGS_12189500
1980,1,15,3180,USGS_12189500
1980,1,16,3330,USGS_12189500
1980,1,17,3540,USGS_12189500
1980,1,18,2980,USGS_12189500
1980,1,19,2680,USGS_12189500
1980,1,20,2510,USGS_12189500
1980,1,21,2350,USGS_12189500
1980,1,22,2240,USGS_12189500
1980,1,23,2200,USGS_12189500
1980,1,24,2260,USGS_12189500
1980,1,25,2200,USGS_12189500
1980,1,26,2040,USGS_12189500
1980,1,27,1790,USGS_12189500
1980,1,28,1660,USGS_12189500
1980,1,29,1580,USGS_12189500
1980,1,30,1530,USGS_12189500
1980,1,31,1500,USGS_12189500
1980,2,1,2200,USGS_12189500
1980,2,2,3360,USGS_12189500
1980,2,3,5700,USGS_12189500
1980,2,4,4910,USGS_12189500
1980,2,5,3660,USGS_12189500
1980,2,6,4000,USGS_12189500
1980,2,7,3780,USGS_12189500
1980,2,8,3240,USGS_12189500
1980,2,9,3020,USGS_12189500
1980,2,10,2800,USGS_12189500
1980,2,11,2620,USGS_12189500
1980,2,12,2480,USGS_12189500
1980,2,13,2360,USGS_12189500
1980,2,14,2210,USGS_12189500
1980,2,15,2090,USGS_12189500
1980,2,16,2040,USGS_12189500
1980,2,17,2020,USGS_12189500
1980,2,18,2720,USGS_12189500
1980,2,19,4290,USGS_12189500
