year,month,day,hour,flow_cfs,Source
1989,10,1,6,1160,USGS_12189500
1989,10,1,12,1130,USGS_12189500
1989,10,1,18,1070,USGS_12189500
1989,10,2,0,1040,USGS_12189500
1989,10,2,6,1030,USGS_12189500
1989,10,2,12,1010,USGS_12189500
1989,10,2,18,967,USGS_12189500
1989,10,3,0,938,USGS_12189500
1989,10,3,6,929,USGS_12189500
1989,10,3,12,929,USGS_12189500
1989,10,3,18,911,USGS_12189500
1989,10,4,0,884,USGS_12189500
1989,10,4,6,893,USGS_12189500
1989,10,4,12,902,USGS_12189500
1989,10,4,18,884,USGS_12189500
1989,10,5,0,866,USGS_12189500
1989,10,5,6,866,USGS_12189500
1989,10,5,12,884,USGS_12189500
1989,10,5,18,857,USGS_12189500
1989,10,6,0,848,USGS_12189500
1989,10,6,6,884,USGS_12189500
1989,10,6,12,920,USGS_12189500
1989,10,6,18,866,USGS_12189500
1989,10,7,0,848,USGS_12189500
1989,10,7,6,911,USGS_12189500
1989,10,7,12,920,USGS_12189500
1989,10,7,18,875,USGS_12189500
1989,10,8,0,848,USGS_12189500
1989,10,8,6,920,USGS_12189500
1989,10,8,12,920,USGS_12189500
1989,10,8,18,875,USGS_12189500
1989,10,9,0,848,USGS_12189500
1989,10,9,6,875,USGS_12189500
1989,10,9,12,893,USGS_12189500
1989,10,9,18,848,USGS_12189500
1989,10,10,0,831,USGS_12189500
1989,10,10,6,902,USGS_12189500
1989,10,10,12,948,USGS_12189500
1989,10,10,18,957,USGS_12189500
1989,10,11,0,1190,USGS_12189500
1989,10,11,6,1120,USGS_12189500
1989,10,11,12,1080,USGS_12189500
1989,10,11,18,1030,USGS_12189500
1989,10,12,0,1030,USGS_12189500
1989,10,12,6,1330,USGS_12189500
1989,10,12,12,2330,USGS_12189500
1989,10,12,18,3110,USGS_12189500
1989,10,13,0,2830,USGS_12189500
1989,10,13,6,2580,USGS_12189500
1989,10,13,12,2330,USGS_12189500
1989,10,13,18,3240,USGS_12189500
1989,10,14,0,4010,USGS_12189500
1989,10,14,6,3280,USGS_12189500
1989,10,14,12,2580,USGS_12189500
1989,10,14,18,2190,USGS_12189500
1989,10,15,0,1910,USGS_12189500
1989,10,15,6,1750,USGS_12189500
1989,10,15,12,1600,USGS_12189500
1989,10,15,18,1500,USGS_12189500
1989,10,16,0,1410,USGS_12189500
1989,10,16,6,1360,USGS_12189500
1989,10,16,12,1300,USGS_12189500
1989,10,16,18,1240,USGS_12189500
1989,10,17,0,1190,USGS_12189500
1989,10,17,6,1170,USGS_12189500
1989,10,17,12,1140,USGS_12189500
1989,10,17,18,1110,USGS_12189500
1989,10,18,0,1090,USGS_12189500
1989,10,18,6,1070,USGS_12189500
1989,10,18,12,1100,USGS_12189500
1989,10,18,18,1100,USGS_12189500
1989,10,19,0,1160,USGS_12189500
1989,10,19,6,1340,USGS_12189500
1989,10,19,12,1240,USGS_12189500
1989,10,19,18,1150,USGS_12189500
1989,10,20,0,1100,USGS_12189500
1989,10,20,6,1080,USGS_12189500
1989,10,20,12,1070,USGS_12189500
1989,10,20,18,1060,USGS_12189500
1989,10,21,0,1110,USGS_12189500
1989,10,21,6,1480,USGS_12189500
1989,10,21,12,2240,USGS_12189500
1989,10,21,18,2090,USGS_12189500
1989,10,22,0,1980,USGS_12189500
1989,10,22,6,1880,USGS_12189500
1989,10,22,12,1790,USGS_12189500
1989,10,22,18,1730,USGS_12189500
1989,10,23,0,1640,USGS_12189500
1989,10,23,6,1560,USGS_12189500
1989,10,23,12,1550,USGS_12189500
1989,10,23,18,1800,USGS_12189500
1989,10,24,0,3420,USGS_12189500
1989,10,24,6,5000,USGS_12189500
1989,10,24,12,3930,USGS_12189500
1989,10,24,18,3190,USGS_12189500
1989,10,25,0,2720,USGS_12189500
1989,10,25,6,2440,USGS_12189500
1989,10,25,12,2230,USGS_12189500
1989,10,25,18,2060,USGS_12189500
1989,10,26,0,1930,USGS_12189500
1989,10,26,6,1870,USGS_12189500
1989,10,26,12,1960,USGS_12189500
1989,10,26,18,2410,USGS_12189500
1989,10,27,0,2790,USGS_12189500
1989,10,27,6,2760,USGS_12189500
1989,10,27,12,2460,USGS_12189500
1989,10,27,18,2260,USGS_12189500
1989,10,28,0,2120,USGS_12189500
1989,10,28,6,2010,USGS_12189500
1989,10,28,12,1900,USGS_12189500
1989,10,28,18,1800,USGS_12189500
1989,10,29,0,1720,USGS_12189500
1989,10,29,6,1670,USGS_12189500
1989,10,29,12,1620,USGS_12189500
1989,10,29,18,1560,USGS_12189500
1989,10,30,0,1510,USGS_12189500
