name,zone,lower,upper
uztwm_SFLN2-1,SFLN2-1,82.25,174.75
uzfwm_SFLN2-1,SFLN2-1,54.625,124.625
lztwm_SFLN2-1,SFLN2-1,102.5,297.5
lzfpm_SFLN2-1,SFLN2-1,105.75,595.75
lzfsm_SFLN2-1,SFLN2-1,45,155
adimp_SFLN2-1,SFLN2-1,0,0.2
uzk_SFLN2-1,SFLN2-1,0.10625,0.35625
lzpk_SFLN2-1,SFLN2-1,0.001,0.0056875
lzsk_SFLN2-1,SFLN2-1,0.036,0.124
zperc_SFLN2-1,SFLN2-1,45.75,195.25
rexp_SFLN2-1,SFLN2-1,1.0875,2.2125
pctim_SFLN2-1,SFLN2-1,0,0.05
pfree_SFLN2-1,SFLN2-1,0.21,0.56
riva_SFLN2-1,SFLN2-1,0,0.2
scf_SFLN2-1,SFLN2-1,0.7,1.5
mfmax_SFLN2-1,SFLN2-1,0.765,1.265
mfmin_SFLN2-1,SFLN2-1,0.1735,0.3935
uadj_SFLN2-1,SFLN2-1,0.0875,0.1625
si_SFLN2-1,SFLN2-1,1,5000
adc_a_SFLN2-1,SFLN2-1,0,0.25
adc_b_SFLN2-1,SFLN2-1,0.05,50
adc_c_SFLN2-1,SFLN2-1,0.5,50
unit_shape_SFLN2-1,SFLN2-1,1.01,3.3
unit_toc_adj_SFLN2-1,SFLN2-1,0.75,1.25
uztwm_SFLN2-2,SFLN2-2,82.25,174.75
uzfwm_SFLN2-2,SFLN2-2,54.625,124.625
lztwm_SFLN2-2,SFLN2-2,102.5,297.5
lzfpm_SFLN2-2,SFLN2-2,105.75,595.75
lzfsm_SFLN2-2,SFLN2-2,45,155
adimp_SFLN2-2,SFLN2-2,0,0.2
uzk_SFLN2-2,SFLN2-2,0.10625,0.35625
lzpk_SFLN2-2,SFLN2-2,0.001,0.0056875
lzsk_SFLN2-2,SFLN2-2,0.036,0.124
zperc_SFLN2-2,SFLN2-2,45.75,195.25
rexp_SFLN2-2,SFLN2-2,1.0875,2.2125
pctim_SFLN2-2,SFLN2-2,0,0.05
pfree_SFLN2-2,SFLN2-2,0.21,0.56
riva_SFLN2-2,SFLN2-2,0,0.2
scf_SFLN2-2,SFLN2-2,0.7,1.5
mfmax_SFLN2-2,SFLN2-2,0.765,1.265
mfmin_SFLN2-2,SFLN2-2,0.1735,0.3935
uadj_SFLN2-2,SFLN2-2,0.0875,0.1625
si_SFLN2-2,SFLN2-2,1,5000
adc_a_SFLN2-2,SFLN2-2,0,0.25
adc_b_SFLN2-2,SFLN2-2,0.05,50
adc_c_SFLN2-2,SFLN2-2,0.5,50
unit_shape_SFLN2-2,SFLN2-2,1.01,3.3
unit_toc_adj_SFLN2-2,SFLN2-2,0.75,1.25
irr_eff_SFLN2-CU,SFLN2-CU,0.4,0.7
rf_accum_rate_SFLN2-CU,SFLN2-CU,0.01,0.29
map_scale_SFLN2,SFLN2,0.5,1.5
map_p_redist_SFLN2,SFLN2,0,0.5
map_std_SFLN2,SFLN2,0.1,20
map_shift_SFLN2,SFLN2,-15,15
mat_scale_SFLN2,SFLN2,0.5,1.5
mat_p_redist_SFLN2,SFLN2,0,0.5
mat_std_SFLN2,SFLN2,0.1,20
mat_shift_SFLN2,SFLN2,-15,15
ptps_scale_SFLN2,SFLN2,0.5,1.5
ptps_p_redist_SFLN2,SFLN2,0,0.5
ptps_std_SFLN2,SFLN2,0.1,20
ptps_shift_SFLN2,SFLN2,-15,15
pet_scale_SFLN2,SFLN2,0.5,1.5
pet_p_redist_SFLN2,SFLN2,0,0.5
pet_std_SFLN2,SFLN2,0.1,20
pet_shift_SFLN2,SFLN2,-15,15
cl_factor_01_SFLN2,SFLN2,0.2,1.2
cl_factor_02_SFLN2,SFLN2,0.2,1.2
cl_factor_03_SFLN2,SFLN2,0.2,1.2
cl_factor_04_SFLN2,SFLN2,0.2,1.2
cl_factor_05_SFLN2,SFLN2,0.2,1.2
cl_factor_06_SFLN2,SFLN2,0.2,1.2
cl_factor_07_SFLN2,SFLN2,0.2,1.2
cl_factor_08_SFLN2,SFLN2,0.2,1.2
cl_factor_09_SFLN2,SFLN2,0.2,1.2
cl_factor_10_SFLN2,SFLN2,0.2,1.2
cl_factor_11_SFLN2,SFLN2,0.2,1.2
cl_factor_12_SFLN2,SFLN2,0.2,1.2
