year,month,day,flow_cfs,Source
1979,10,1,226,USGS_12186000
1979,10,2,219,USGS_12186000
1979,10,3,209,USGS_12186000
1979,10,4,205,USGS_12186000
1979,10,5,202,USGS_12186000
1979,10,6,205,USGS_12186000
1979,10,7,209,USGS_12186000
1979,10,8,205,USGS_12186000
1979,10,9,202,USGS_12186000
1979,10,10,202,USGS_12186000
1979,10,11,202,USGS_12186000
1979,10,12,198,USGS_12186000
1979,10,13,198,USGS_12186000
1979,10,14,195,USGS_12186000
1979,10,15,209,USGS_12186000
1979,10,16,223,USGS_12186000
1979,10,17,297,USGS_12186000
1979,10,18,242,USGS_12186000
1979,10,19,315,USGS_12186000
1979,10,20,306,USGS_12186000
1979,10,21,254,USGS_12186000
1979,10,22,258,USGS_12186000
1979,10,23,580,USGS_12186000
1979,10,24,548,USGS_12186000
1979,10,25,1360,USGS_12186000
1979,10,26,1550,USGS_12186000
1979,10,27,2900,USGS_12186000
1979,10,28,1720,USGS_12186000
1979,10,29,1110,USGS_12186000
1979,10,30,855,USGS_12186000
1979,10,31,684,USGS_12186000
1979,11,1,574,USGS_12186000
1979,11,2,499,USGS_12186000
1979,11,3,493,USGS_12186000
1979,11,4,458,USGS_12186000
1979,11,5,414,USGS_12186000
1979,11,6,381,USGS_12186000
1979,11,7,350,USGS_12186000
1979,11,8,330,USGS_12186000
1979,11,9,310,USGS_12186000
1979,11,10,292,USGS_12186000
1979,11,11,274,USGS_12186000
1979,11,12,262,USGS_12186000
1979,11,13,254,USGS_12186000
1979,11,14,242,USGS_12186000
1979,11,15,238,USGS_12186000
1979,11,16,234,USGS_12186000
1979,11,17,283,USGS_12186000
1979,11,18,325,USGS_12186000
1979,11,19,279,USGS_12186000
1979,11,20,258,USGS_12186000
1979,11,21,246,USGS_12186000
1979,11,22,258,USGS_12186000
1979,11,23,283,USGS_12186000
1979,11,24,270,USGS_12186000
1979,11,25,258,USGS_12186000
1979,11,26,242,USGS_12186000
1979,11,27,226,USGS_12186000
1979,11,28,219,USGS_12186000
1979,11,29,212,USGS_12186000
1979,11,30,219,USGS_12186000
1979,12,1,262,USGS_12186000
1979,12,2,481,USGS_12186000
1979,12,3,2230,USGS_12186000
1979,12,4,3730,USGS_12186000
1979,12,5,1780,USGS_12186000
1979,12,6,1270,USGS_12186000
1979,12,7,1090,USGS_12186000
1979,12,8,992,USGS_12186000
1979,12,9,2330,USGS_12186000
1979,12,10,2180,USGS_12186000
1979,12,11,1380,USGS_12186000
1979,12,12,1160,USGS_12186000
1979,12,13,1470,USGS_12186000
1979,12,14,5890,USGS_12186000
1979,12,15,5030,USGS_12186000
1979,12,16,2390,USGS_12186000
1979,12,17,7330,USGS_12186000
1979,12,18,12300,USGS_12186000
1979,12,19,7030,USGS_12186000
1979,12,20,4920,USGS_12186000
1979,12,21,3270,USGS_12186000
1979,12,22,2360,USGS_12186000
1979,12,23,1810,USGS_12186000
1979,12,24,1510,USGS_12186000
1979,12,25,1290,USGS_12186000
1979,12,26,1140,USGS_12186000
1979,12,27,1010,USGS_12186000
1979,12,28,895,USGS_12186000
1979,12,29,807,USGS_12186000
1979,12,30,740,USGS_12186000
1979,12,31,705,USGS_12186000
1980,1,1,785,USGS_12186000
1980,1,2,770,USGS_12186000
1980,1,3,712,USGS_12186000
1980,1,4,635,USGS_12186000
1980,1,5,587,USGS_12186000
1980,1,6,517,USGS_12186000
1980,1,7,493,USGS_12186000
1980,1,8,469,USGS_12186000
1980,1,9,447,USGS_12186000
1980,1,10,436,USGS_12186000
1980,1,11,420,USGS_12186000
1980,1,12,1320,USGS_12186000
1980,1,13,1100,USGS_12186000
1980,1,14,900,USGS_12186000
1980,1,15,710,USGS_12186000
1980,1,16,760,USGS_12186000
1980,1,17,830,USGS_12186000
1980,1,18,750,USGS_12186000
1980,1,19,650,USGS_12186000
1980,1,20,590,USGS_12186000
1980,1,21,540,USGS_12186000
1980,1,22,490,USGS_12186000
1980,1,23,480,USGS_12186000
1980,1,24,485,USGS_12186000
1980,1,25,460,USGS_12186000
1980,1,26,430,USGS_12186000
1980,1,27,400,USGS_12186000
1980,1,28,370,USGS_12186000
1980,1,29,350,USGS_12186000
1980,1,30,335,USGS_12186000
1980,1,31,330,USGS_12186000
1980,2,1,510,USGS_12186000
1980,2,2,420,USGS_12186000
1980,2,3,1300,USGS_12186000
1980,2,4,1150,USGS_12186000
1980,2,5,870,USGS_12186000
1980,2,6,930,USGS_12186000
1980,2,7,870,USGS_12186000
1980,2,8,770,USGS_12186000
1980,2,9,700,USGS_12186000
1980,2,10,640,USGS_12186000
1980,2,11,610,USGS_12186000
1980,2,12,570,USGS_12186000
1980,2,13,540,USGS_12186000
1980,2,14,480,USGS_12186000
1980,2,15,458,USGS_12186000
1980,2,16,442,USGS_12186000
1980,2,17,442,USGS_12186000
1980,2,18,628,USGS_12186000
1980,2,19,1030,USGS_12186000
1980,2,20,887,USGS_12186000
1980,2,21,740,USGS_12186000
1980,2,22,642,USGS_12186000
