name,type,zone,value
uztwm,sac,WCHW1-1,-99
uzfwm,sac,WCHW1-1,-99
lztwm,sac,WCHW1-1,-99
lzfpm,sac,WCHW1-1,-99
lzfsm,sac,WCHW1-1,-99
adimp,sac,WCHW1-1,-99
uzk,sac,WCHW1-1,-99
lzpk,sac,WCHW1-1,-99
lzsk,sac,WCHW1-1,-99
zperc,sac,WCHW1-1,-99
rexp,sac,WCHW1-1,-99
pctim,sac,WCHW1-1,-99
pfree,sac,WCHW1-1,-99
riva,sac,WCHW1-1,-99
side,sac,WCHW1-1,0
rserv,sac,WCHW1-1,0.3
peadj,sac,WCHW1-1,1
pxadj,sac,WCHW1-1,1
peadj_10,sac,WCHW1-1,0.7411
peadj_11,sac,WCHW1-1,0.3283
peadj_12,sac,WCHW1-1,0.2272
peadj_01,sac,WCHW1-1,0.2
peadj_02,sac,WCHW1-1,0.2
peadj_03,sac,WCHW1-1,0.2
peadj_04,sac,WCHW1-1,0.2126
peadj_05,sac,WCHW1-1,0.3283
peadj_06,sac,WCHW1-1,0.5032
peadj_07,sac,WCHW1-1,0.8
peadj_08,sac,WCHW1-1,0.9359
peadj_09,sac,WCHW1-1,0.9461
efc,sac,WCHW1-1,0.523398316579
uztwm,sac,WCHW1-2,-99
uzfwm,sac,WCHW1-2,-99
lztwm,sac,WCHW1-2,-99
lzfpm,sac,WCHW1-2,-99
lzfsm,sac,WCHW1-2,-99
adimp,sac,WCHW1-2,-99
uzk,sac,WCHW1-2,-99
lzpk,sac,WCHW1-2,-99
lzsk,sac,WCHW1-2,-99
zperc,sac,WCHW1-2,-99
rexp,sac,WCHW1-2,-99
pctim,sac,WCHW1-2,-99
pfree,sac,WCHW1-2,-99
riva,sac,WCHW1-2,-99
side,sac,WCHW1-2,0
rserv,sac,WCHW1-2,0.3
peadj,sac,WCHW1-2,1
pxadj,sac,WCHW1-2,1
peadj_10,sac,WCHW1-2,0.7076
peadj_11,sac,WCHW1-2,0.303
peadj_12,sac,WCHW1-2,0.2785
peadj_01,sac,WCHW1-2,0.2863
peadj_02,sac,WCHW1-2,0.2534
peadj_03,sac,WCHW1-2,0.284
peadj_04,sac,WCHW1-2,0.5336
peadj_05,sac,WCHW1-2,0.6535
peadj_06,sac,WCHW1-2,0.7797
peadj_07,sac,WCHW1-2,0.8667
