name,zone,lower,upper
uztwm_WCHW1-1,WCHW1-1,25,78.5
uzfwm_WCHW1-1,WCHW1-1,10,57.5
lztwm_WCHW1-1,WCHW1-1,10,259.75
lzfpm_WCHW1-1,WCHW1-1,102,498
lzfsm_WCHW1-1,WCHW1-1,25.5,124.5
adimp_WCHW1-1,WCHW1-1,0,0.2
uzk_WCHW1-1,WCHW1-1,0.18,0.6
lzpk_WCHW1-1,WCHW1-1,0.004,0.03
lzsk_WCHW1-1,WCHW1-1,0.1045,0.254
zperc_WCHW1-1,WCHW1-1,1,110
rexp_WCHW1-1,WCHW1-1,1.625,4.5
pctim_WCHW1-1,WCHW1-1,0,0.05
pfree_WCHW1-1,WCHW1-1,0,0.6
riva_WCHW1-1,WCHW1-1,0,0.2
scf_WCHW1-1,WCHW1-1,0.7,1.5
mfmax_WCHW1-1,WCHW1-1,0.5,1.2225
mfmin_WCHW1-1,WCHW1-1,0.1,0.49
uadj_WCHW1-1,WCHW1-1,0.05,0.2
si_WCHW1-1,WCHW1-1,1,5000
adc_a_WCHW1-1,WCHW1-1,0,0.25
adc_b_WCHW1-1,WCHW1-1,0.05,50
adc_c_WCHW1-1,WCHW1-1,0.5,50
unit_shape_WCHW1-1,WCHW1-1,1.01,3.3
unit_toc_adj_WCHW1-1,WCHW1-1,0.75,1.25
uztwm_WCHW1-2,WCHW1-2,25,78.5
uzfwm_WCHW1-2,WCHW1-2,10,57.5
lztwm_WCHW1-2,WCHW1-2,10,259.75
lzfpm_WCHW1-2,WCHW1-2,102,498
lzfsm_WCHW1-2,WCHW1-2,25.5,124.5
adimp_WCHW1-2,WCHW1-2,0,0.2
uzk_WCHW1-2,WCHW1-2,0.18,0.6
lzpk_WCHW1-2,WCHW1-2,0.004,0.03
lzsk_WCHW1-2,WCHW1-2,0.1045,0.254
zperc_WCHW1-2,WCHW1-2,1,110
rexp_WCHW1-2,WCHW1-2,1.625,4.5
pctim_WCHW1-2,WCHW1-2,0,0.05
pfree_WCHW1-2,WCHW1-2,0,0.6
riva_WCHW1-2,WCHW1-2,0,0.2
scf_WCHW1-2,WCHW1-2,0.7,1.5
mfmax_WCHW1-2,WCHW1-2,0.5,1.2225
mfmin_WCHW1-2,WCHW1-2,0.1,0.49
uadj_WCHW1-2,WCHW1-2,0.05,0.2
si_WCHW1-2,WCHW1-2,1,5000
adc_a_WCHW1-2,WCHW1-2,0,0.25
adc_b_WCHW1-2,WCHW1-2,0.05,50
adc_c_WCHW1-2,WCHW1-2,0.5,50
unit_shape_WCHW1-2,WCHW1-2,1.01,3.3
unit_toc_adj_WCHW1-2,WCHW1-2,0.75,1.25
map_scale_WCHW1,WCHW1,0.5,1.5
map_p_redist_WCHW1,WCHW1,0,0.5
map_std_WCHW1,WCHW1,0.1,20
map_shift_WCHW1,WCHW1,-15,15
mat_scale_WCHW1,WCHW1,0.5,1.5
mat_p_redist_WCHW1,WCHW1,0,0.5
mat_std_WCHW1,WCHW1,0.1,20
mat_shift_WCHW1,WCHW1,-15,15
pet_scale_WCHW1,WCHW1,0.5,1.5
pet_p_redist_WCHW1,WCHW1,0,0.5
pet_std_WCHW1,WCHW1,0.1,20
pet_shift_WCHW1,WCHW1,-15,15
ptps_scale_WCHW1,WCHW1,0.5,1.5
ptps_p_redist_WCHW1,WCHW1,0,0.5
ptps_std_WCHW1,WCHW1,0.1,20
ptps_shift_WCHW1,WCHW1,-15,15
