year,month,day,flow_cfs,Source
1979,10,1,486,USGS_12358500
1979,10,2,470,USGS_12358500
1979,10,3,463,USGS_12358500
1979,10,4,456,USGS_12358500
1979,10,5,445,USGS_12358500
1979,10,6,435,USGS_12358500
1979,10,7,435,USGS_12358500
1979,10,8,429,USGS_12358500
1979,10,9,422,USGS_12358500
1979,10,10,415,USGS_12358500
1979,10,11,409,USGS_12358500
1979,10,12,409,USGS_12358500
1979,10,13,402,USGS_12358500
1979,10,14,402,USGS_12358500
1979,10,15,402,USGS_12358500
1979,10,16,409,USGS_12358500
1979,10,17,422,USGS_12358500
1979,10,18,422,USGS_12358500
1979,10,19,456,USGS_12358500
1979,10,20,470,USGS_12358500
1979,10,21,449,USGS_12358500
1979,10,22,435,USGS_12358500
1979,10,23,442,USGS_12358500
1979,10,24,435,USGS_12358500
1979,10,25,442,USGS_12358500
1979,10,26,542,USGS_12358500
1979,10,27,559,USGS_12358500
1979,10,28,551,USGS_12358500
1979,10,29,534,USGS_12358500
1979,10,30,518,USGS_12358500
1979,10,31,501,USGS_12358500
1979,11,1,486,USGS_12358500
1979,11,2,470,USGS_12358500
1979,11,3,463,USGS_12358500
1979,11,4,449,USGS_12358500
1979,11,5,435,USGS_12358500
1979,11,6,429,USGS_12358500
1979,11,7,422,USGS_12358500
1979,11,8,415,USGS_12358500
1979,11,9,409,USGS_12358500
1979,11,10,396,USGS_12358500
1979,11,11,389,USGS_12358500
1979,11,12,383,USGS_12358500
1979,11,13,377,USGS_12358500
1979,11,14,364,USGS_12358500
1979,11,15,346,USGS_12358500
1979,11,16,334,USGS_12358500
1979,11,17,346,USGS_12358500
1979,11,18,352,USGS_12358500
1979,11,19,346,USGS_12358500
1979,11,20,334,USGS_12358500
1979,11,21,328,USGS_12358500
1979,11,22,311,USGS_12358500
1979,11,23,295,USGS_12358500
1979,11,24,306,USGS_12358500
1979,11,25,306,USGS_12358500
1979,11,26,300,USGS_12358500
1979,11,27,300,USGS_12358500
1979,11,28,268,USGS_12358500
1979,11,29,219,USGS_12358500
1979,11,30,201,USGS_12358500
1979,12,1,238,USGS_12358500
1979,12,2,334,USGS_12358500
1979,12,3,383,USGS_12358500
1979,12,4,478,USGS_12358500
1979,12,5,559,USGS_12358500
1979,12,6,463,USGS_12358500
1979,12,7,429,USGS_12358500
1979,12,8,409,USGS_12358500
1979,12,9,422,USGS_12358500
1979,12,10,551,USGS_12358500
1979,12,11,559,USGS_12358500
1979,12,12,501,USGS_12358500
1979,12,13,478,USGS_12358500
1979,12,14,501,USGS_12358500
1979,12,15,493,USGS_12358500
1979,12,16,346,USGS_12358500
1979,12,17,383,USGS_12358500
1979,12,18,542,USGS_12358500
1979,12,19,585,USGS_12358500
1979,12,20,585,USGS_12358500
1979,12,21,585,USGS_12358500
1979,12,22,594,USGS_12358500
1979,12,23,559,USGS_12358500
1979,12,24,534,USGS_12358500
1979,12,25,526,USGS_12358500
1979,12,26,509,USGS_12358500
1979,12,27,501,USGS_12358500
1979,12,28,486,USGS_12358500
1979,12,29,478,USGS_12358500
1979,12,30,456,USGS_12358500
1979,12,31,429,USGS_12358500
1980,1,1,442,USGS_12358500
1980,1,2,442,USGS_12358500
1980,1,3,435,USGS_12358500
1980,1,4,422,USGS_12358500
1980,1,5,409,USGS_12358500
1980,1,6,323,USGS_12358500
1980,1,7,295,USGS_12358500
1980,1,8,289,USGS_12358500
1980,1,9,323,USGS_12358500
1980,1,10,328,USGS_12358500
1980,1,11,370,USGS_12358500
1980,1,12,415,USGS_12358500
1980,1,13,463,USGS_12358500
1980,1,14,486,USGS_12358500
1980,1,15,538,USGS_12358500
1980,1,16,518,USGS_12358500
1980,1,17,509,USGS_12358500
1980,1,18,470,USGS_12358500
1980,1,19,409,USGS_12358500
1980,1,20,377,USGS_12358500
1980,1,21,377,USGS_12358500
1980,1,22,383,USGS_12358500
1980,1,23,377,USGS_12358500
1980,1,24,396,USGS_12358500
1980,1,25,370,USGS_12358500
1980,1,26,350,USGS_12358500
1980,1,27,300,USGS_12358500
1980,1,28,270,USGS_12358500
1980,1,29,250,USGS_12358500
1980,1,30,260,USGS_12358500
1980,1,31,280,USGS_12358500
1980,2,1,320,USGS_12358500
1980,2,2,350,USGS_12358500
1980,2,3,400,USGS_12358500
1980,2,4,435,USGS_12358500
1980,2,5,415,USGS_12358500
1980,2,6,402,USGS_12358500
1980,2,7,396,USGS_12358500
1980,2,8,389,USGS_12358500
1980,2,9,377,USGS_12358500
1980,2,10,370,USGS_12358500
1980,2,11,358,USGS_12358500
1980,2,12,352,USGS_12358500
1980,2,13,334,USGS_12358500
1980,2,14,311,USGS_12358500
1980,2,15,311,USGS_12358500
1980,2,16,311,USGS_12358500
1980,2,17,323,USGS_12358500
1980,2,18,340,USGS_12358500
1980,2,19,370,USGS_12358500
1980,2,20,396,USGS_12358500
1980,2,21,370,USGS_12358500
1980,2,22,358,USGS_12358500
1980,2,23,340,USGS_12358500
1980,2,24,328,USGS_12358500
1980,2,25,328,USGS_12358500
1980,2,26,328,USGS_12358500
1980,2,27,358,USGS_12358500
1980,2,28,442,USGS_12358500
1980,2,29,518,USGS_12358500
1980,3,1,526,USGS_12358500
1980,3,2,526,USGS_12358500
1980,3,3,518,USGS_12358500
1980,3,4,415,USGS_12358500
1980,3,5,422,USGS_12358500
1980,3,6,470,USGS_12358500
1980,3,7,518,USGS_12358500
1980,3,8,493,USGS_12358500
1980,3,9,486,USGS_12358500
1980,3,10,486,USGS_12358500
1980,3,11,501,USGS_12358500
1980,3,12,486,USGS_12358500
1980,3,13,470,USGS_12358500
1980,3,14,463,USGS_12358500
1980,3,15,463,USGS_12358500
1980,3,16,442,USGS_12358500
1980,3,17,435,USGS_12358500
1980,3,18,435,USGS_12358500
1980,3,19,435,USGS_12358500
1980,3,20,429,USGS_12358500
1980,3,21,422,USGS_12358500
1980,3,22,415,USGS_12358500
1980,3,23,429,USGS_12358500
1980,3,24,435,USGS_12358500
1980,3,25,429,USGS_12358500
1980,3,26,415,USGS_12358500
1980,3,27,409,USGS_12358500
1980,3,28,409,USGS_12358500
1980,3,29,415,USGS_12358500
1980,3,30,435,USGS_12358500
1980,3,31,415,USGS_12358500
1980,4,1,409,USGS_12358500
1980,4,2,409,USGS_12358500
1980,4,3,409,USGS_12358500
1980,4,4,415,USGS_12358500
1980,4,5,435,USGS_12358500
1980,4,6,486,USGS_12358500
1980,4,7,509,USGS_12358500
1980,4,8,501,USGS_12358500
1980,4,9,501,USGS_12358500
1980,4,10,551,USGS_12358500
1980,4,11,559,USGS_12358500
1980,4,12,585,USGS_12358500
1980,4,13,649,USGS_12358500
1980,4,14,766,USGS_12358500
1980,4,15,1100,USGS_12358500
1980,4,16,1420,USGS_12358500
1980,4,17,1770,USGS_12358500
1980,4,18,2690,USGS_12358500
1980,4,19,4310,USGS_12358500
1980,4,20,5950,USGS_12358500
1980,4,21,8020,USGS_12358500
1980,4,22,8500,USGS_12358500
1980,4,23,7950,USGS_12358500
1980,4,24,8920,USGS_12358500
1980,4,25,9760,USGS_12358500
1980,4,26,11600,USGS_12358500
1980,4,27,12100,USGS_12358500
1980,4,28,12600,USGS_12358500
1980,4,29,13600,USGS_12358500
1980,4,30,13700,USGS_12358500
1980,5,1,12500,USGS_12358500
1980,5,2,12600,USGS_12358500
1980,5,3,13600,USGS_12358500
1980,5,4,13700,USGS_12358500
1980,5,5,13400,USGS_12358500
1980,5,6,13700,USGS_12358500
1980,5,7,13300,USGS_12358500
1980,5,8,11600,USGS_12358500
1980,5,9,10200,USGS_12358500
1980,5,10,9290,USGS_12358500
1980,5,11,8470,USGS_12358500
1980,5,12,7990,USGS_12358500
1980,5,13,7700,USGS_12358500
1980,5,14,7550,USGS_12358500
1980,5,15,7610,USGS_12358500
1980,5,16,7890,USGS_12358500
1980,5,17,8310,USGS_12358500
1980,5,18,8700,USGS_12358500
1980,5,19,9190,USGS_12358500
1980,5,20,9860,USGS_12358500
1980,5,21,10900,USGS_12358500
1980,5,22,12300,USGS_12358500
1980,5,23,13900,USGS_12358500
1980,5,24,12700,USGS_12358500
1980,5,25,11000,USGS_12358500
1980,5,26,18300,USGS_12358500
1980,5,27,16500,USGS_12358500
1980,5,28,13000,USGS_12358500
1980,5,29,10800,USGS_12358500
1980,5,30,9820,USGS_12358500
1980,5,31,9350,USGS_12358500
1980,6,1,9060,USGS_12358500
1980,6,2,9320,USGS_12358500
1980,6,3,8960,USGS_12358500
1980,6,4,8110,USGS_12358500
1980,6,5,7390,USGS_12358500
1980,6,6,6860,USGS_12358500
1980,6,7,6430,USGS_12358500
1980,6,8,5980,USGS_12358500
1980,6,9,6150,USGS_12358500
1980,6,10,7200,USGS_12358500
1980,6,11,7890,USGS_12358500
1980,6,12,7800,USGS_12358500
1980,6,13,9150,USGS_12358500
1980,6,14,9060,USGS_12358500
1980,6,15,8630,USGS_12358500
1980,6,16,8530,USGS_12358500
1980,6,17,8240,USGS_12358500
1980,6,18,7700,USGS_12358500
1980,6,19,7200,USGS_12358500
1980,6,20,6730,USGS_12358500
1980,6,21,6210,USGS_12358500
1980,6,22,5950,USGS_12358500
1980,6,23,5570,USGS_12358500
1980,6,24,5100,USGS_12358500
1980,6,25,4570,USGS_12358500
1980,6,26,4340,USGS_12358500
1980,6,27,6270,USGS_12358500
1980,6,28,6640,USGS_12358500
1980,6,29,5830,USGS_12358500
1980,6,30,5230,USGS_12358500
1980,7,1,4730,USGS_12358500
1980,7,2,4390,USGS_12358500
1980,7,3,4210,USGS_12358500
1980,7,4,4010,USGS_12358500
1980,7,5,3680,USGS_12358500
1980,7,6,3390,USGS_12358500
1980,7,7,3190,USGS_12358500
1980,7,8,3060,USGS_12358500
1980,7,9,2970,USGS_12358500
1980,7,10,2880,USGS_12358500
1980,7,11,2860,USGS_12358500
1980,7,12,2670,USGS_12358500
1980,7,13,2500,USGS_12358500
1980,7,14,2380,USGS_12358500
1980,7,15,2540,USGS_12358500
1980,7,16,2500,USGS_12358500
1980,7,17,2340,USGS_12358500
1980,7,18,2200,USGS_12358500
1980,7,19,2120,USGS_12358500
1980,7,20,2070,USGS_12358500
1980,7,21,1960,USGS_12358500
1980,7,22,1900,USGS_12358500
1980,7,23,1890,USGS_12358500
1980,7,24,1870,USGS_12358500
1980,7,25,1780,USGS_12358500
1980,7,26,1720,USGS_12358500
1980,7,27,1650,USGS_12358500
1980,7,28,1590,USGS_12358500
1980,7,29,1540,USGS_12358500
1980,7,30,1480,USGS_12358500
1980,7,31,1420,USGS_12358500
1980,8,1,1360,USGS_12358500
1980,8,2,1330,USGS_12358500
1980,8,3,1370,USGS_12358500
1980,8,4,1490,USGS_12358500
1980,8,5,1360,USGS_12358500
1980,8,6,1260,USGS_12358500
1980,8,7,1180,USGS_12358500
1980,8,8,1110,USGS_12358500
1980,8,9,1150,USGS_12358500
1980,8,10,1140,USGS_12358500
1980,8,11,1100,USGS_12358500
1980,8,12,1060,USGS_12358500
1980,8,13,1050,USGS_12358500
1980,8,14,1030,USGS_12358500
1980,8,15,1000,USGS_12358500
1980,8,16,977,USGS_12358500
1980,8,17,953,USGS_12358500
1980,8,18,1180,USGS_12358500
1980,8,19,1490,USGS_12358500
1980,8,20,1480,USGS_12358500
1980,8,21,1390,USGS_12358500
1980,8,22,1300,USGS_12358500
1980,8,23,1230,USGS_12358500
1980,8,24,1150,USGS_12358500
1980,8,25,1100,USGS_12358500
1980,8,26,1050,USGS_12358500
1980,8,27,1030,USGS_12358500
1980,8,28,1010,USGS_12358500
1980,8,29,977,USGS_12358500
1980,8,30,930,USGS_12358500
1980,8,31,885,USGS_12358500
1980,9,1,873,USGS_12358500
1980,9,2,1050,USGS_12358500
1980,9,3,1590,USGS_12358500
1980,9,4,1600,USGS_12358500
1980,9,5,1480,USGS_12358500
