name,type,zone,value
uztwm,sac,WGCM8-1,-99
uzfwm,sac,WGCM8-1,-99
lztwm,sac,WGCM8-1,-99
lzfpm,sac,WGCM8-1,-99
lzfsm,sac,WGCM8-1,-99
adimp,sac,WGCM8-1,-99
uzk,sac,WGCM8-1,-99
lzpk,sac,WGCM8-1,-99
lzsk,sac,WGCM8-1,-99
zperc,sac,WGCM8-1,-99
rexp,sac,WGCM8-1,-99
pctim,sac,WGCM8-1,-99
pfree,sac,WGCM8-1,-99
riva,sac,WGCM8-1,-99
side,sac,WGCM8-1,0
rserv,sac,WGCM8-1,0.3
peadj,sac,WGCM8-1,1
pxadj,sac,WGCM8-1,1
peadj_10,sac,WGCM8-1,0.494
peadj_11,sac,WGCM8-1,0.2
peadj_12,sac,WGCM8-1,0.2
peadj_01,sac,WGCM8-1,0.2
peadj_02,sac,WGCM8-1,0.2
peadj_03,sac,WGCM8-1,0.2
peadj_04,sac,WGCM8-1,0.2
peadj_05,sac,WGCM8-1,0.2981
peadj_06,sac,WGCM8-1,0.6422
peadj_07,sac,WGCM8-1,0.8274
peadj_08,sac,WGCM8-1,0.8227
peadj_09,sac,WGCM8-1,0.7399
efc,sac,WGCM8-1,0.442784377007
uztwm,sac,WGCM8-2,-99
uzfwm,sac,WGCM8-2,-99
lztwm,sac,WGCM8-2,-99
lzfpm,sac,WGCM8-2,-99
lzfsm,sac,WGCM8-2,-99
adimp,sac,WGCM8-2,-99
uzk,sac,WGCM8-2,-99
lzpk,sac,WGCM8-2,-99
lzsk,sac,WGCM8-2,-99
zperc,sac,WGCM8-2,-99
rexp,sac,WGCM8-2,-99
pctim,sac,WGCM8-2,-99
pfree,sac,WGCM8-2,-99
riva,sac,WGCM8-2,-99
side,sac,WGCM8-2,0
rserv,sac,WGCM8-2,0.3
peadj,sac,WGCM8-2,1
pxadj,sac,WGCM8-2,1
peadj_10,sac,WGCM8-2,0.7076
peadj_11,sac,WGCM8-2,0.303
peadj_12,sac,WGCM8-2,0.2785
peadj_01,sac,WGCM8-2,0.2863
peadj_02,sac,WGCM8-2,0.2534
peadj_03,sac,WGCM8-2,0.284
peadj_04,sac,WGCM8-2,0.5336
peadj_05,sac,WGCM8-2,0.6535
